report_class_id,field_key,field_title,field_type,field_key exists in field_key_library?,field_key_definition,row_id,field_key_exists_in_library_flag,normalized_field_key,facet_title_missing,validity_stats,token_valid_ratio,char_valid_ratio,valid_tokens,invalid_tokens,tokens,token_validity_ratio_label,containment_title,matched_tokens,key_tokens,title_tokens,containment_title_label,cosine_sim,cosine_verdict,nli_axis,nli_axis_label,len_ratio,facet_hard_mismatch,facet_partial_mismatch,facet_missing_context,facet_hidden_agent,facet_temporal_mismatch,facet_token_validity_issues,semantic_severity,structural_severity,final_severity,reasons
CrosswindsACReport,affect_other,"If other affect, please describe:",textarea,False,,1091,False,affect other,False,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['affect', 'other'], 'invalid_tokens': [], 'tokens': ['affect', 'other']}",1.0,1.0,"['affect', 'other']",[],"['affect', 'other']",VALID,0.4,"['other', 'affect']","['other', 'affect']","['other', 'please', 'affect', 'if', 'describe']",LOW,0.7472599744796753,MEDIUM,0.6205523582880337,Exact Match,1.5,False,True,False,False,False,False,0.7503436998303127,1.0,0.9251031099490936,partial_mismatch
MeridianReport,others_present,Others Present:,radio,False,,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorthlandTherapyReport,hide_PLAN_header, ,textarea,False,,1475,False,hide plan header,True,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['hide', 'plan', 'header'], 'invalid_tokens': [], 'tokens': ['hide', 'plan', 'header']}",1.0,1.0,"['hide', 'plan', 'header']",[],"['hide', 'plan', 'header']",VALID,0.0,[],"['hide', 'plan', 'header']",[],LOW,0.124074175953865,LOW,-0.2682334156694384,Strong Contradiction,0.0,True,False,False,False,False,False,0.256752228085328,0.0,0.0770256684255984,"title_missing, hard_mismatch"
SummitPointePeerNoteReport,Response,Customer Response,textarea,False,,2591,False,response,False,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,0.5,['response'],['response'],"['response', 'customer']",PARTIAL,0.759070873260498,MEDIUM,0.6158078301065435,Exact Match,1.5,False,False,False,False,False,False,0.7624636110101124,1.0,0.9287390833030336,
CrosswindsACReport,new_event,New known event reported since last session:,checkbox,False,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCRSStaffedLivingNoteReport,purpose,,checkbox,False,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MentalhealthresourcesReportF2F,Goal,,checkbox,False,,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnisonGroupNoteReport,interventions,Interventions during today's session,textarea,True,"The Field ‘interventions' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals.",2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AltaClinicalProgressNoteReport,C_Reporttxt,,textarea,False,,1859,False,c reporttxt,True,"{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.1, 'valid_tokens': ['c'], 'invalid_tokens': ['reporttxt'], 'tokens': ['c', 'reporttxt']}",0.5,0.1,['c'],['reporttxt'],"['c', 'reporttxt']",INVALID,0.0,[],"['c', 'reporttxt']",['nan'],LOW,0.0736818462610244,LOW,-0.1243187490846128,Uncertain,0.5,True,False,False,False,False,True,0.2848089291529235,0.0,0.085442678745877,"title_missing, hard_mismatch, token_validity_issues"
ColumbianaTBSreport,Daily,"Daily Summary (include Life Changes, Interventions and Progress):",textarea,False,,1061,False,daily,False,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['daily'], 'invalid_tokens': [], 'tokens': ['daily']}",1.0,1.0,['daily'],[],['daily'],VALID,0.1429,['daily'],['daily'],"['daily', 'life', 'progress', 'summary', 'include', 'intervention', 'change']",LOW,0.4097445905208587,LOW,0.6539927894801791,Exact Match,1.5,True,False,False,False,False,False,0.6334112140003113,1.0,0.8900233642000933,hard_mismatch
